game_id,team_id,a_team_id,spread1,spread2,price1,price2
21001034,1610612755,1610612757,7.5,-7.5,-107.0,-103.0
21001035,1610612751,1610612764,-2.5,2.5,-102.0,-108.0
21001036,1610612765,1610612737,7.0,-7.0,-105.0,-105.0
21001037,1610612752,1610612749,-2.0,2.0,-105.0,-105.0
21001038,1610612758,1610612750,4.5,-4.5,-107.0,-103.0
21001039,1610612756,1610612746,1.0,-1.0,-103.0,-107.0
21001040,1610612762,1610612745,8.5,-8.5,-105.0,-105.0
21001041,1610612761,1610612760,14.5,-14.5,-105.0,-105.0
21001042,1610612744,1610612742,8.5,-8.5,-105.0,-105.0
21001043,1610612757,1610612747,6.5,-6.5,-105.0,-105.0
21001044,1610612753,1610612739,-12.0,12.0,-108.0,-102.0
21001045,1610612754,1610612751,-3.5,3.5,-101.0,-109.0
21001046,1610612738,1610612752,-1.5,1.5,-108.0,-102.0
21001047,1610612758,1610612741,15.5,-15.5,-107.0,-103.0
21001048,1610612762,1610612763,8.0,-8.0,-107.0,-103.0
21001049,1610612744,1610612759,11.0,-11.0,-105.0,-105.0
21001050,1610612761,1610612743,12.5,-12.5,-107.0,-103.0
21001051,1610612741,1610612737,-4.0,4.0,-105.0,-105.0
21001052,1610612764,1610612757,16.0,-16.0,-105.0,-105.0
21001053,1610612756,1610612747,8.0,-8.0,-127.0,107.0
21001054,1610612754,1610612766,2.0,-2.0,-105.0,-105.0
21001055,1610612751,1610612739,-2.5,2.5,-105.0,-105.0
21001056,1610612737,1610612755,7.0,-7.0,-105.0,-105.0
21001057,1610612763,1610612738,6.0,-6.0,-103.0,-107.0
21001058,1610612748,1610612765,-8.5,8.5,-109.0,-101.0
21001059,1610612753,1610612752,-1.0,1.0,-105.0,-105.0
21001060,1610612758,1610612749,8.5,-8.5,-101.0,-109.0
21001061,1610612762,1610612760,12.0,-12.0,-105.0,-105.0
21001062,1610612744,1610612745,8.5,-8.5,-108.0,-102.0
21001063,1610612761,1610612756,7.5,-7.5,-105.0,-105.0
21001064,1610612759,1610612743,6.0,-6.0,-105.0,-105.0
21001065,1610612764,1610612746,13.5,-13.5,-102.0,-108.0
21001066,1610612750,1610612742,15.0,-15.0,-105.0,-105.0
21001067,1610612740,1610612762,-5.0,5.0,-105.0,-105.0
21001068,1610612758,1610612754,6.5,-6.5,-103.0,-107.0
21001069,1610612751,1610612753,13.0,-13.0,-102.0,-108.0
21001070,1610612766,1610612738,13.0,-13.0,-103.0,-107.0
21001071,1610612765,1610612739,-4.5,4.5,-103.0,-107.0
21001072,1610612755,1610612748,8.0,-8.0,-105.0,-105.0
21001073,1610612749,1610612752,6.5,-6.5,-105.0,-105.0
21001074,1610612763,1610612741,9.0,-9.0,-108.0,-102.0
21001075,1610612750,1610612760,16.0,-16.0,-107.0,-103.0
21001076,1610612764,1610612743,17.0,-17.0,-110.0,-110.0
